grupo,tipo_de_producto,titulo,pais_revista,revista,issn,ano,vol,fasc,pags,doi,autor
SISCO,Publicado en revista especializada,Extension of a Group Contribution Method to Predict Viscosity Based on Momentum Transport Theory Using a Modified Peng-Robinson EoS,,Industrial & Engineering Chemistry Research,1520-5045,2021,60,págs:,14903 - 14926,10.1021/acs.iecr.1c02146 ,"LUIS FERNANDO CARDONA PALACIO, LUIS ALEJANDRO FORERO GAVIRIA, JORGE ALBERTO VELASQUEZ JIMENEZ"
SISCO,Publicado en revista especializada,Hasta la vista,,"baby. ¿ will machine learning terminate human literature reviews in entrepreneurship?  Reino Unido, Journal of Small Business Management",1540-627X,2021,N/A,págs:,1 - 31,10.1080/00472778.2021.1955125 ,"SEBASTIAN ROBLEDO GIRALDO, ANDRES MAURICIO GRISALES AGUIRRE"
SISCO,Publicado en revista especializada,Superparamagnetic MnFe2O4 Ferrite by Gel Combustion Synthesis Using TRIS as a Fuel: Influence of Oxidizer to Fuel Ratio,Rusia,International Journal of Self-Propagating High-Temperature Synthesis,1061-3862,2021,30,2,73 - 80,10.3103/S1061386221020059 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, TIAGO WERMUTH, CLAUDIA PATRICIA GARCIA GARCIA, JAVIER ALARCON NAVARRO, CARLOS BERGMANN"
SISCO,Publicado en revista especializada,Depresión en estudiantes universitarios derivada del Covid-19: un modelo de clasificación,Colombia,Cuaderno Hispanoamericano De Psicología,2346-0253,2021,21,1,1 - 15,10.18270/chps..v21i1.3712 ,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, JULIANA VALENCIA OCHOA, YENNI RIVERA MONTOYA"
SISCO,Publicado en revista especializada,NiFe2O4 Powders by Solution-Combustion Synthesis Using 6-Aminohexanoic Acid as a Fuel: Structural and Magnetic Properties,Rusia,International Journal of Self-Propagating High-Temperature Synthesis,1061-3862,2021,30,2,111 - 114,10.3103/S1061386221020047 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, TIAGO WERMUTH, CARLOS BERGMANN, JAVIER ALARCON NAVARRO"
SISCO,Publicado en revista especializada,Synthesis of high crystallinity biphasic calcium phosphates/gold nanoparticles composites by solution combustion method with antimicrobial response,España,Boletin De La Sociedad Espanola De Ceramica Y Vidrio,2173-0431,2021,1,págs:,1 - 11,10.1016/j.bsecv.2021.03.007 ,"ALEX ARBEY LOPERA SEPULVEDA, EDGAR ANDRES CHAVARRIAGA MIRANDA, CARLOS GUILLERMO PAUCAR ALVAREZ, CLAUDIA PATRICIA GARCIA GARCIA"
SISCO,Publicado en revista especializada,Development and evaluation of polyvinyl alcohol films reinforced with carbon nanotubes and alumina for manufacturing hybrid metal matrix composites by the sandwich technique,Estados Unidos,AIMS Materials Science,2372-0468,2021,8,2,149 - 165,10.3934/matersci.2021011 ,"CARLOS ANDRES SANCHEZ PALACIOS, YAMILE CARDONA MAYA, JUAN SEBASTIAN RUDAS FLOREZ, CESAR AUGUSTO ISAZA MERINO"
SISCO,Publicado en revista especializada,Enhancement of magnetic and dielectric properties of KNbO3-CoFe2O4 multiferroic composites via thermal treatment,Reino Unido,Ceramics International,0272-8842,2021,47,4,4874 - 4883,10.1016/j.ceramint.2020.10.060 ,"TIAGO WERMUTH, EDGAR ANDRES CHAVARRIAGA MIRANDA, CARLOS BERGMANN"
SISCO,Publicado en revista especializada,Desarrollo de un software para el entrenamiento neuropsicológicode jóvenes infractores de la ley con trastorno de la personalidadantisocial,Colombia,Ingenierías USBMed,2027-5846,2021,12,1,12 - 18,10.21500/20275846.4828 ,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, ANDRES FELIPE VELEZ VASQUEZ, LUISA FERNANDA SEPULVEDA GUTIERREZ, ELIZABETH ZAPATA LOPEZ"
SISCO,Publicado en revista especializada,Análisis cuantitativo del ordenamiento de alúmina anódica nanoporosa obtenida a diferentes potenciales de anodizado,Colombia,Revista De Ingeniería Universidad Distrital Francisco José De Caldas,2344-8393,2021,26,págs:,- ,10.14483/23448393.16164 ,"FELIX ECHEVERRIA ECHEVERRIA, SARA MARIA AGUILAR SIERRA"
SISCO,Publicado en revista especializada,Modelo simple y generalizado para estimar la conductividad térmica de líquidos iónicos,Colombia,Revista Científica,0124-2253,2021,42,págs:,276 - 289,10.14483/23448350.18052 ,LUIS FERNANDO CARDONA PALACIO
SISCO,Publicado en revista especializada,Mantenimiento y reparación de vías usando un sistema robótico en la nube,Colombia,Revista Politecnica,1900-2351,2020,16,32,87 - 95,10.33571/rpolitec.v16n32a8 ,"SEBASTIAN TORRES YEPES, JAIME ALBERTO GUZMAN LUNA, INGRID DURLEY TORRES PARDO"
SISCO,Publicado en revista especializada,ZnFe2-xCrxO4 Ferrites (x = 0.0-2.0) by Solution-Combustion Synthesis Using Glycine as a Fuel: Influence of Cr3+ Doping,Rusia,International Journal of Self-Propagating High-Temperature Synthesis,1061-3862,2020,29,4,243 - 245,10.3103/S1061386220040081 ,"JUAN FERNANDO MONTOYA, EDGAR ANDRES CHAVARRIAGA MIRANDA, STIVEN VILLADA GIL, OSCAR JAIME RESTREPO BAENA"
SISCO,Publicado en revista especializada,Structural Equation Model: an Analysis of Learning Management Systems Acceptance,Canadá,Modern Applied Science,1913-1844,2020,14,11,50 - 58,10.5539/mas.v14n11p50 ,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ, ISABEL CRISTINA PUERTA LOPERA"
SISCO,Publicado en revista especializada,Aplicaciones móviles para gestión de procesos académicos en educación superior (AMAES),Venezuela,Espacios,0798-1015,2020,41,28,250 - 270, ,"SHIRLENE PATRICIA VEGA ROYERO, CARLOS ANDRES TREJOS GIL, VICTOR HUGO MERINO CORDOBA, CARMEN YSABEL MARTINEZ DE MERINO, DANIEL ALFREDO LANDINEZ MARTINEZ"
SISCO,Publicado en revista especializada,Clustering Applied to the Education: A K-means and Hierarchical Application,Canadá,Review of European Studies,1918-7173,2020,12,3,66 - 74,10.5539/res.v12n3p66 ,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ, ISABEL CRISTINA PUERTA LOPERA"
SISCO,Publicado en revista especializada,Effect of the substitution of Co2+ by Mg2+ on the color of the CoCr2O4 ceramic pigment synthesized by solution combustion,España,Boletin De La Sociedad Espanola De Ceramica Y Vidrio,2173-0431,2020,59,4,176 - 184,10.1016/j.bsecv.2019.11.001 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, CARLOS BERGMANN, JAVIER ALARCON NAVARRO"
SISCO,Publicado en revista especializada,Relativistic effects on the energetic stability of Pb5 clusters,Estados Unidos,Theoretical Chemistry Accounts,1432-881X,2020,139,7,1 - 10,10.1007/00214-020-02622 ,FRANKLIN FERRARO GOMEZ
SISCO,Publicado en revista especializada,Desarrollo de competencias genéricas y específicas en estudiantes de ingeniería en el marco del laboratorio de física,México,Revista Mexicana de Fisica E,1870-3542,2020,17,2,104 - 114,10.31349/RevMexFisE.17.104 ,SHIRLENE PATRICIA VEGA ROYERO
SISCO,Publicado en revista especializada,One-Step Solution-Combustion Synthesis of Ni/NiO Nanocomposites Using 6-Aminohexanoic Acid as a Fuel: Effect of Oxidizer-to-Fuel Ratio,Rusia,International Journal of Self-Propagating High-Temperature Synthesis,1061-3862,2020,29,págs:,128 - 130,10.3103/S1061386220020041 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, CARLOS BERGMANN, JAVIER ALARCON NAVARRO"
SISCO,Publicado en revista especializada,Synthesis by solution combustion of inorganic blue pigments MFe2(P2O7)2: Influence of the cation M (Zn2+,,"Co2+, Cu2+, and Mg2+) on their optical properties  Francia, SOLID STATE SCIENCES",1873-3085,2020,103,N/A,1 - 10,10.1016/j.solidstatesciences.2020.106180 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, TIAGO WERMUTH, ADRIAN GOMEZ ZAPATA, OSCAR JAIME RESTREPO BAENA, CARLOS BERGMANN, JAVIER ALARCON NAVARRO"
SISCO,Publicado en revista especializada,Interferometric colours produced by anodised aluminium diffraction grating,Reino Unido,Materials Science and Technology,0267-0836,2020,36,na,1 - 7,10.1080/02670836.2020.1765477 ,"SARA MARIA AGUILAR SIERRA, FELIX ECHEVERRIA ECHEVERRIA"
SISCO,Publicado en revista especializada,Gel combustion synthesis and magnetic properties of CoFe2O4,,"ZnFe2O4, and MgFe2O4 using 6-aminohexanoic acid as a new fuel  Países Bajos, Journal of Magnetism and Magnetic Materials",0304-8853,2020,497,N/A,1 - 11,10.1016/j.jmmm.2019.166054 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, CARLOS BERGMANN, JAVIER ALARCON NAVARRO"
SISCO,Publicado en revista especializada,Degradation of the emerging concern pollutant ampicillin in aqueous media by sonochemical advanced oxidation processes - Parameters effect,,"removal of antimicrobial activity and pollutant treatment in hydrolyzed urine  Estados Unidos, Journal of Environmental Management",0301-4797,2020,261,N/A,1 - 7,10.1016/j.jenvman.2020.110224 ,FRANKLIN FERRARO GOMEZ
SISCO,Publicado en revista especializada,Exposición de nanotubos de carbono de pared múltiple a espermatozoides humanos,Cuba,Revista Cubana de Obstetricia y Ginecologia,0138-600X,2020,46,2,1 - 11, ,"CESAR AUGUSTO ISAZA MERINO, YAMILE CARDONA MAYA, WALTER DARIO CARDONA MAYA"
SISCO,Publicado en revista especializada,Riesgo e Ideación Suicida y su Relación con la Impulsividad y la Depresión en Adolescentes Escolares,Argentina,Revista Iberoamericana de Diagnostico y Evaluacion Psicologica,2183-6051,2020,1,N/A,147 - 163,10.21865/RIDEP54.1.12 ,"ANDRES MAURICIO GRISALES AGUIRRE, ANYERSON STITHS GOMEZ TABARES, MARIA PAULA AGUDELO OSORIO"
SISCO,Publicado en revista especializada,Dataset on application of electrochemical and photochemical processes for sulfacetamide antibiotic elimination in water,Países Bajos,Data in Brief,2352-3409,2020,29,N/A,1 - 10,10.1016/j.dib.2020.105158 ,"FRANKLIN FERRARO GOMEZ, EFRAIM ADOLFO SERNA GALVIS, RICARDO ANTONIO TORRES PALMA"
SISCO,Publicado en revista especializada,Nanomechanical characterization of a metal matrix composite reinforced with carbon nanotubes,Estados Unidos,AIMS Materials Science,2372-0468,2020,7,N/A,33 - 45,10.3934/matersci.2020.1.33 ,"MATEO DUARTE GARCIA, ANDRES DAVID BENITEZ VERGEL, KATIUSKA GOMEZ IGLESIAS, BENJAMIN ZULUAGA DIAZ, JUAN MANUEL MEZA MEZA, YAMILE CARDONA MAYA, CESAR AUGUSTO ISAZA MERINO, JUAN SEBASTIAN RUDAS FLOREZ"
SISCO,Publicado en revista especializada,Predictores psicológicos del riesgo suicida en estudiantes universitarios,España,Behavioral Psychology,1132-9483,2019,27,3,391 - 413, ,"ANDRES MAURICIO GRISALES AGUIRRE, ANYERSON STITHS GOMEZ TABARES, VICENTE CABALLO MANRIQUE, MARIA PAULA AGUDELO OSORIO"
SISCO,Publicado en revista especializada,Development of an Emotional Salary Model: a Case of Application,India,Indian Journal of Science and Technology,0974-5645,2019,12,42,1 - 18,10.17485/ijst/2019/v12i42/146964 ,"VICTOR DANIEL GIL VERA, CATALINA QUINTERO LOPEZ, ISABEL CRISTINA PUERTA LOPERA, LUIS FERNANDO QUINTERO ARANGO, JUAN DIEGO BETANCUR ARIAS"
SISCO,Publicado en revista especializada,Global reading and writing methodology: analysis of a software implementation on first-graders,Estados Unidos,Espacios,0798-1015,2019,40,39,5 - 18, ,"VICTOR DANIEL GIL VERA, BAIRON JARAMILLO VALENCIA, SONIA RUTH QUINTERO ARRUBLA"
SISCO,Publicado en revista especializada,Artificial Hydrogen molecule in vertically stacked Ga1−𝑥Al𝑥As nanoscalerings: Structural and external probes effects on their quantum levels,Países Bajos,Physica E-Low-Dimensional Systems '&' Nanostructures,1386-9477,2019,117,N/A,- ,10.1016/j.physe.2019.113765 ,"JUAN DAVID CASTRILLON GOMEZ, DANNY ARLEN DE JESUS GOMEZ RAMIREZ, YODER ALBERTO SUAZA TABARES, JAIRO HUMBERTO MARIN CADAVID, MARLON RINCON FULLA"
SISCO,Publicado en revista especializada,Should an Effective Language Learning Be through the Development of Just One Language Skill?,Estados Unidos,Qualitative Report,1052-0147,2019,24,11,2778 - 2793,10.46743/2160-3715/2019.4015 ,"VICTOR DANIEL GIL VERA, BAIRON JARAMILLO VALENCIA"
SISCO,Publicado en revista especializada,Structural,,"thermodynamic and kinetic factors in the desorption/absorption of a hydrogen molecule in the M3AlH10−xNa (M = Be or Mg; x = 0 or 2) hydrides  Inglaterra, New Journal of Chemistry",1369-9261,2019,N/A,N/A,1 - 8,10.1039/C9NJ02326G ,"EDISON HUMBERTO OSORIO LOPEZ, FRANKLIN FERRARO GOMEZ, CACIER ZILAHY HADAD ARRIAGADA, LEIDY CAROLINA GIRALDO BARRERA, OLIMPO JOSE GARCIA BELTRAN"
SISCO,Publicado en revista especializada,Green inorganic pigment production with spinel structure CoCr2O4 by solution combustion synthesis,Colombia,Tecciencia,1909-3667,2019,14,26,37 - 42,10.18180/tecciencia.2019.26.5 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, JUAN FERNANDO MONTOYA, STIVEN VILLADA GIL, OSCAR JAIME RESTREPO BAENA"
SISCO,Publicado en revista especializada,Intense laser field effect on D2+ molecular complex localized in semiconductor quantum wells,Colombia,Chemical Physics Letters,0009-2614,2019,730,N/A,384 - 390,10.1016/j.cplett.2019.06.024 ,"YODER ALBERTO SUAZA TABARES, MARLON RINCON FULLA, JAIRO HUMBERTO MARIN CADAVID"
SISCO,Publicado en revista especializada,Interfacial Analysis in AZ31B Magnesium Alloy Reinforced with Multiwalled Carbon Nanotubes,Reino Unido,Microscopy and Microanalysis,1431-9276,2019,25,N/A,2182 - 2183,10.1017/S1431927619011644 ,"CESAR AUGUSTO ISAZA MERINO, YAMILE CARDONA MAYA, JUAN MANUEL MEZA MEZA"
SISCO,Publicado en revista especializada,Modelado Matemático de la Triponosomiasis Chagásica,Colombia,Ciencia En Desarrollo,2462-7658,2019,10,2,1 - 10,10.19053/01217488.v10.n2.2019.9524 ,SHIRLENE PATRICIA VEGA ROYERO
SISCO,Publicado en revista especializada,Ferromagnetic long-range ordering in nano-crystalline La0.7Ca0.3Mn1-xNixO3 (x = 0,,"0.02) manganites  Países Bajos, Journal of Magnetism and Magnetic Materials",0304-8853,2019,475,N/A,524 - 532,10.1016/j.jmmm.2018.11.125 ,"ADRIAN GOMEZ ZAPATA, JORGE LUIS IZQUIERDO NUNEZ, IVAN SUPELANO GARCIA, CARLOS ARTURO PARRA VARGAS, EDGAR ANDRES CHAVARRIAGA MIRANDA, OSWALDO MORAN CAMPANA"
SISCO,Publicado en revista especializada,K-Means Clustering Application: A Monetary Poverty Analysis of Colombian Regions,Pakistán,Middle East Journal of Scientific Research,1990-9233,2019,27,1,6 - 11,10.5829/idosi.mejsr.2019.06.11 ,"VICTOR DANIEL GIL VERA, ISABEL CRISTINA PUERTA LOPERA"
SISCO,Publicado en revista especializada,Assessment of the relationship between magnetotransport and magnetocaloric properties in nano-sized La0.7Ca0.3Mn1−xNixO3 manganites,Reino Unido,Journal of Magnetism and Magnetic Materials,0304-8853,2019,469,N/A,558 - 569,10.1016/j.jmmm.2018.09.036 ,"ADRIAN GOMEZ ZAPATA, EDGAR ANDRES CHAVARRIAGA MIRANDA, OSWALDO MORAN CAMPANA"
SISCO,Publicado en revista especializada,Síntesis y Caracterización de Pigmentos Inorgánicos Azules CoAl1.95Cr0.05O4 y Zn0,,Scientia Et Technica,0122-1701,2018,23,4,462 - 470,10.22517/23447214.18381 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, JUAN FERNANDO MONTOYA, STIVEN VILLADA GIL, OSCAR JAIME RESTREPO BAENA"
SISCO,Publicado en revista especializada,SÍNTESIS DE LA ESPINELA ZNCRXFE2-XO4(0 ≤ X ≤ 1) POR COMBUSTIÓN EN SOLUCIÓN Y ESTUDIO TERMODINÁMICO DE LA ESTABILIDAD DE FASES,Colombia,Produccion y Limpia,1909-0455,2018,13,2,119 - 132,10.22507/pml.v13n2a12 ,"JUAN FERNANDO MONTOYA, EDGAR ANDRES CHAVARRIAGA MIRANDA, STIVEN VILLADA GIL"
SISCO,Revisión (Survey),Uso de recursos TIC en la enseñanza de las matemáticas: retos y perspectivas,Colombia,Entramado,1900-3803,2018,14,N/A,1 - 33, ,ANDRES MAURICIO GRISALES AGUIRRE
SISCO,Publicado en revista especializada,Frameworks para el desarrollo de prototipos WEB: Un caso de aplicación,Colombia,Lámpsakos,2145-4086,2018,20,N/A,40 - 53,10.21501/21454086.2065 ,VICTOR DANIEL GIL VERA
SISCO,Publicado en revista especializada,Synthesis by solution combustion and optical characterization of violet NASICON-type Mg0.45Co0.05Ti2(PO4)3 pigment,Reino Unido,Dyes and Pigments,0143-7208,2018,157,N/A,1 - 10,10.1016/j.dyepig.2018.04.041 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, TIAGO WERMUTH, OSCAR JAIME RESTREPO BAENA, CARLOS BERGMANN"
SISCO,Publicado en revista especializada,Fraud-Detection-Oriented Operators in a Data Warehouse Based on Forensic Accounting Techniques,Reino Unido,Computer Fraud and Security,1361-3723,2018,2018,NA,13 - 19,https://doi.org/10.1016/S1361-3723(18)30098-8 ,"FRANCISCO JAVIER MORENO ARBOLEDA, JAIME ALBERTO GUZMAN LUNA, INGRID DURLEY TORRES PARDO"
SISCO,Publicado en revista especializada,Cyanide¿isocyanide isomerization: stability and bonding in noble gas inserted metal cyanides (metal = Cu,,"Ag, Au)  Reino Unido, Physical Chemistry Chemical Physics",1463-9084,2018,20,págs:,18491 - 18502 , 10.1039/C8CP02837K ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Automatic Workflow Scientific Model for Lab Test in Civil Engineering,India,International Journal of Applied Engineering Research,0973-4562,2018,13,9,6529 - 6535, ,"JAIME ALBERTO GUZMAN LUNA, INGRID DURLEY TORRES PARDO, FRANCISCO JAVIER MORENO ARBOLEDA"
SISCO,Publicado en revista especializada,Who benefits from cellular immune response during the Chagas disease?,Inglaterra,BioSystems,0303-2647,2018,171,págs:,66 - 73,https://doi.org/10.1016/j.biosystems.2018.07.005 ,SHIRLENE PATRICIA VEGA ROYERO
SISCO,Publicado en revista especializada,Cholinesterase Inhibition Activity,,"Alkaloid Profiling and Molecular Docking of Chilean Rhodophiala (Amaryllidaceae).  Suiza, Molecules",1420-3049,2018,23,7,1532 - N/A,10.3390/molecules23071532 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Amaryllidaceae alkaloids as agents with protective effects against oxidative neural cell injury,Países Bajos,Life Sciences,0024-3205,2018,15,págs:,54 - 65,10.1016/j.lfs.2018.04.026 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Boron Nanowheels with Axles Containing Noble Gas Atoms: Viable Noble Gas Bound M©B10- Clusters (M=Nb,,"Ta)  Reino Unido, Chemistry - A European Journal",1521-3765,2018,24,págs:,3590 - 3598,10.1002/chem.201705790 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Stable NCNgNSi (Ng=Kr,,"Xe, Rn) Compounds with Covalently Bound C-Ng-N Unit: Possible Isomerization of NCNSi through the Release of the Noble Gas Atom  Reino Unido, Chemistry - A European Journal",1521-3765,2018,24,págs:,2 - 11,10.1002/chem.201705112 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Alkaloids of Amaryllidaceae as Inhibitors of Cholinesterases (AChEs and BChEs): An Integrated Bioguided Study,Estados Unidos,Phytochemical Analysis,1099-1565,2018,29,págs:,217 - 227,10.1002/pca.2736 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Evaluation of the magnetocaloric response of nano-sized La0.7Ca0.3Mn1-xNixO3 manganites synthesized by auto-combustion method,Estados Unidos,AIP Advances,2158-3226,2018,8,N/A,0564301 - 0564306,10.1063/1.5007284 ,"ADRIAN GOMEZ ZAPATA, EDGAR ANDRES CHAVARRIAGA MIRANDA, IVAN SUPELANO GARCIA, CARLOS ARTURO PARRA VARGAS, OSWALDO MORAN CAMPANA"
SISCO,Publicado en revista especializada,Exploring the potential energy surface of small lead clusters using the gradient embedded genetic algorithm and an adequate treatment of relativistic effects,Inglaterra,RSC Advances,2046-2069,2018,8,N/A,145 - 152, 10.1039/C7RA11449D ,"FRANKLIN FERRARO GOMEZ, EDISON HUMBERTO OSORIO LOPEZ"
SISCO,Publicado en revista especializada,Electronic and magnetic properties of the [Ni(salophen)]: An experimental and DFT study,Egipto,Journal of Advanced Research,2090-1232,2018,9,N/A,27 - 33,https://doi.org/10.1016/j.jare.2017.10.004 ,FRANKLIN FERRARO GOMEZ
SISCO,Publicado en revista especializada,Actualidad e importancia de la implementación de Big Data utilizando las herramientas Hadoop y Spark,Colombia,Lámpsakos,2145-4086,2018,19,págs:,67 - 72,10.21501/21454086.2403 ,LINA MARIA MONTOYA SUAREZ
SISCO,Publicado en revista especializada,Desarrollo de una plataforma tecnológica para la publicación de objetos de aprendizaje personalizados,,"aplicados al uso correcto de los gimnasios al aire libre, en dispositivos móviles  Colombia, Iatreia",2011-7965,2018,31,1,1 - 1,10.20180201/139650 ,"INGRID DURLEY TORRES PARDO, SANTIAGO ROMAN FERNANDEZ, JAIME ALBERTO GUZMAN LUNA"
SISCO,Publicado en revista especializada,The femicide in Colombia and Mexico: a text mining analysis,Turquía,"The Turkish Online Journal of Design, Art and Communication - TOJDAC",2146-5193,2018,1,págs:,170 - 177,10.7456/1080MSE/121 ,"VICTOR DANIEL GIL VERA, JUAN DIEGO BETANCUR ARIAS, ISABEL CRISTINA PUERTA LOPERA, LINA MARIA MONTOYA SUAREZ"
SISCO,Publicado en revista especializada,Enfoque integral del Ingeniero del siglo XXI: Una revisión de la literatura,Colombia,Revista Politecnica,1900-2351,2018,14,N/A,9 - 18,10.33571/rpolitec.v14n26a1 ,"JORGE ANDRES COCK RAMIREZ, LINA MARIA MONTOYA SUAREZ"
SISCO,Publicado en revista especializada,Acerca de las bifurcaciones de un convertidor ZAD-Ćuk,Colombia,Scientia Et Technica,0122-1701,2017,22,págs:,403 - 410,10.22517/23447214.10151 ,"ANDRES MAURICIO GRISALES AGUIRRE, ANDRES FELIPE AMADOR RODRIGUEZ, SIMEON CASANOVA TRUJILLO"
SISCO,Publicado en revista especializada,Activation and diffusion of ammonia borane hydrogen on gold tetramers,Estados Unidos,International Journal of Quantum Chemistry,1097-461X,2017,118,N/A,1 - 9,10.1002/qua.25567 ,"FRANKLIN FERRARO GOMEZ, CACIER ZILAHY HADAD ARRIAGADA, EDISON HUMBERTO OSORIO LOPEZ"
SISCO,Publicado en revista especializada,Hippeastrum reticulatum (Amaryllidaceae): Alkaloid Profiling,,"Biological Activities and Molecular Docking  Suiza, Molecules",1420-3049,2017,22,págs:,2191-1 - 2191-14,10.3390/molecules22122191 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Exploiting electronic strategies to stabilize a planar tetracoordinate carbon in cyclic aromatic hydrocarbons,Inglaterra,Chemical Communications,1359-7345,2017,53,N/A,12112 - 12115,10.1039/C7CC06248F ,"EDISON HUMBERTO OSORIO LOPEZ, FRANKLIN FERRARO GOMEZ"
SISCO,Publicado en revista especializada,A Bibliometric Analysis of the Learning Analytics Application in the Education,Pakistán,Journal of Engineering and Applied Sciences,1816-949X,2017,12,26,7849 - 7858,10.3923/jeasci.2017.7849.7858 ,VICTOR DANIEL GIL VERA
SISCO,Publicado en revista especializada,Prototipo de Bicicleta para Transporte Urbano Individual Sostenible,Colombia,Lámpsakos,2145-4086,2017,17,págs:,40 - 51,https://doi.org/10.21501/21454086.2255 ,"GABRIEL JAIME CORREA HENAO, ALVARO ANDRES RAMIREZ PINEROS"
SISCO,Publicado en revista especializada,Metodologías Ágiles de Desarrollo un Caso de Aplicación Medellín Colombia 2016 - 2017,Colombia,Lámpsakos,2145-4086,2017,18,págs:,58 - 63,10.21501/21454086.2521 ,"JORGE MAURICIO SEPULVEDA CASTANO, LINA MARIA MONTOYA SUAREZ"
SISCO,Publicado en revista especializada,Ligand-Supported E3 Clusters (E=Si¿Sn),Alemania,Chemistry - A European Journal,1521-3765,2017,23,págs:,7463 - 7473,10.1002/chem.201700494 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Degradation of highly consumed fluoroquinolones,,"penicillins and cephalosporins in distilled water and simulated hospital wastewater by UV254 and UV254/persulfate processes  Países Bajos, Water Research",0043-1354,2017,122,N/A,128 - 138,https://doi.org/10.1016/j.watres.2017.05.065 ,"FRANKLIN FERRARO GOMEZ, EFRAIM ADOLFO SERNA GALVIS, RICARDO ANTONIO TORRES PALMA"
SISCO,Publicado en revista especializada,Seguridad informática organizacional: un modelo de simulación basado en dinámica de sistemas,Colombia,Scientia Et Technica,0122-1701,2017,22,2,193 - 197,10.22517/23447214.11371 ,VICTOR DANIEL GIL VERA
SISCO,Publicado en revista especializada,Revisión y diagnóstico sobre las condiciones de calidad en los programas de Ingeniería de Sistemas en Colombia,México,Revista Iberoamericana de Educacion Superior,2007-2872,2017,8,22,3 - 24, ,GABRIEL JAIME CORREA HENAO
SISCO,Publicado en revista especializada,Theoretical design of stable hydride clusters: isoelectronic transformation in the EnAl4−nH7+n− series,Inglaterra,RSC Advances,2046-2069,2017,7,N/A,16069 - 16077,10.1039/C7RA01422H ,"FRANKLIN FERRARO GOMEZ, EDISON HUMBERTO OSORIO LOPEZ, CACIER ZILAHY HADAD ARRIAGADA"
SISCO,Publicado en revista especializada,Theoretical design of stable hydride clusters: isoelectronic transformation in the EnAl4n-nH7+n series,Reino Unido,RSC Advances,2046-2069,2017,7,págs:,16069 - 16077,10.1039/C7RA01422H ,"EDISON HUMBERTO OSORIO LOPEZ, FRANKLIN FERRARO GOMEZ"
SISCO,Publicado en revista especializada,Marco de referencia para la planificación de generación distribuida en zonas no interconectadas,Colombia,Revista Iteckne,1692-1798,2017,14,1,70 - 87,10.15332/iteckne.v%vi%i.1250 ,GABRIEL JAIME CORREA HENAO
SISCO,Publicado en revista especializada,Structure-reactivity relationship in the degradation of three representative fluoroquinolone antibiotics in water by electrogenerated active chlorine,Países Bajos,Chemical Engineering Journal,1385-8947,2017,315,N/A,552 - 561,http://dx.doi.org/10.1016/j.cej.2017.01.062 ,"FRANKLIN FERRARO GOMEZ, RICARDO ANTONIO TORRES PALMA, EFRAIM ADOLFO SERNA GALVIS"
SISCO,Publicado en revista especializada,Structure and Bonding of Alkali-Metal Pentalenides,Estados Unidos,Organometallics,1520-6041,2017,36,2,310 - 317,10.1021/acs.organomet.6b00768 ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,Planar pentacoordinate carbon atoms embedded in a metallocene framework,Reino Unido,Chemical Communications,1364-548X,2017,53,págs:,138 - 141 ,10.1039/C6CC08273D ,EDISON HUMBERTO OSORIO LOPEZ
SISCO,Publicado en revista especializada,PRONÓSTICO DE LA DEMANDA MENSUAL DE ELECTRICIDAD CON SERIES DE TIEMPO,Colombia,Revista Eia,1794-1237,2016,13,26,111 - 120,https://doi.org/10.24050/reia.v13i26.749 ,VICTOR DANIEL GIL VERA
